# Date:     2017-10-18 19:39:03
# Database: phot
# Target:   bul2
# Query:    Ngood>=100 and Ngood<=1000 and I>=14 and I<=16 and Isig>=.1 and Isig<=.3 and Imed<=I 
# Objects:  1411
# Columns:
# Field	StarID	StarCat	RA	Decl	Pgood	I	Isig	Imed	Imederr
BUL_SC9	167	182333.16-221401.0	18.392544	-22.23360	37	15.316	0.102	15.298	0.014
BUL_SC33	576023	180557.35-291730.8	18.099264	-29.29188	59	15.316	0.116	15.288	0.010
BUL_SC2	542767	180438.92-284242.8	18.077478	-28.71188	78	15.317	0.115	15.272	0.010
BUL_SC12	317445	181614.34-240643.0	18.270650	-24.11195	90	15.317	0.218	15.209	0.009
BUL_SC7	457152	180932.92-314158.9	18.159145	-31.69971	80	15.318	0.154	15.281	0.008
BUL_SC46	410920	180440.89-294328.1	18.078026	-29.72447	92	15.318	0.113	15.308	0.010
BUL_SC4	462329	175448.67-295233.7	17.913521	-29.87603	90	15.319	0.133	15.296	0.010
BUL_SC6	46192	180739.74-321312.2	18.127705	-32.22007	76	15.320	0.101	15.278	0.011
BUL_SC16	582927	181028.06-262621.1	18.174462	-26.43920	94	15.321	0.104	15.293	0.009
BUL_SC5	75674	174959.89-293541.9	17.833303	-29.59498	76	15.322	0.112	15.319	0.011
BUL_SC32	674499	180349.65-284400.7	18.063793	-28.73352	96	15.331	0.101	15.327	0.011
BUL_SC46	327717	180441.28-301718.8	18.078133	-30.28857	97	15.332	0.173	15.296	0.011
BUL_SC12	509951	181630.17-233650.3	18.275047	-23.61396	87	15.336	0.132	15.306	0.010
BUL_SC16	65416	180941.63-262304.1	18.161563	-26.38448	95	15.336	0.125	15.316	0.009
BUL_SC18	715700	180719.51-265431.0	18.122086	-26.90861	79	15.336	0.119	15.309	0.011
BUL_SC47	137659	172654.50-392613.3	17.448471	-39.43702	85	15.336	0.127	15.290	0.009
BUL_SC3	383361	175322.86-293907.7	17.889684	-29.65213	93	15.337	0.188	15.272	0.010
BUL_SC6	467340	180834.81-315924.2	18.143002	-31.99006	47	15.337	0.111	15.306	0.012
BUL_SC44	165034	174926.25-301608.0	17.823958	-30.26889	30	15.337	0.106	15.308	0.011
BUL_SC44	159254	174927.51-301915.3	17.824309	-30.32091	40	15.338	0.109	15.336	0.010
BUL_SC18	253547	180657.93-272647.9	18.116091	-27.44665	88	15.339	0.100	15.329	0.010
BUL_SC29	461795	174833.83-365002.8	17.809398	-36.83410	95	15.341	0.126	15.315	0.009
BUL_SC32	787583	180343.77-280958.6	18.062157	-28.16628	77	15.341	0.124	15.321	0.010
BUL_SC19	689002	180822.39-265732.3	18.139553	-26.95898	60	15.344	0.109	15.314	0.012
BUL_SC16	616133	181030.52-261626.7	18.175144	-26.27410	91	15.348	0.123	15.321	0.010
BUL_SC18	443452	180705.57-272456.1	18.118215	-27.41557	97	15.348	0.142	15.320	0.009
BUL_SC45	67537	180307.99-300809.2	18.052218	-30.13590	90	15.348	0.104	15.330	0.011
BUL_SC14	376177	174710.07-231151.5	17.786130	-23.19764	89	15.349	0.117	15.303	0.009
BUL_SC48	144757	172824.72-401314.6	17.473532	-40.22071	62	15.349	0.203	15.288	0.008
BUL_SC3	781772	175402.33-293337.8	17.900646	-29.56049	89	15.350	0.109	15.349	0.011
BUL_SC4	612366	175455.60-300339.3	17.915444	-30.06093	96	15.351	0.185	15.274	0.011
BUL_SC5	82919	174957.81-293507.5	17.832725	-29.58542	28	15.352	0.156	15.314	0.011
BUL_SC20	320387	175909.87-284832.3	17.986074	-28.80897	51	15.352	0.107	15.307	0.015
BUL_SC24	352109	175322.72-330352.9	17.889645	-33.06469	30	15.352	0.102	15.299	0.015
BUL_SC3	117599	175313.92-295155.0	17.887199	-29.86529	97	15.357	0.168	15.282	0.010
BUL_SC14	427949	174707.22-225435.3	17.785340	-22.90981	83	15.359	0.107	15.332	0.009
BUL_SC8	350020	182326.28-214903.7	18.390634	-21.81770	50	15.362	0.121	15.324	0.012
BUL_SC46	124842	180417.16-294651.7	18.071433	-29.78103	94	15.362	0.177	15.287	0.009
BUL_SC14	32085	174645.49-232503.2	17.779303	-23.41754	59	15.363	0.107	15.333	0.009
BUL_SC49	78188	172922.64-403156.8	17.489623	-40.53245	70	15.364	0.105	15.347	0.009
BUL_SC31	23556	180156.92-285511.6	18.032478	-28.91989	95	15.368	0.131	15.363	0.010
BUL_SC1	608483	180256.93-300730.4	18.049148	-30.12512	98	15.373	0.162	15.322	0.010
BUL_SC7	42521	180853.29-321158.3	18.148136	-32.19953	94	15.373	0.165	15.337	0.010
BUL_SC37	172295	175226.39-302032.9	17.873997	-30.34248	84	15.373	0.112	15.339	0.010
BUL_SC45	279385	180332.25-295138.4	18.058957	-29.86067	98	15.376	0.112	15.361	0.009
BUL_SC45	67528	180320.04-300818.5	18.055567	-30.13847	69	15.378	0.101	15.370	0.015
BUL_SC20	370692	175911.36-283251.2	17.986488	-28.54755	96	15.382	0.159	15.325	0.010
BUL_SC47	120864	172701.02-394324.0	17.450283	-39.72333	53	15.383	0.106	15.359	0.009
BUL_SC20	284774	175912.77-285658.0	17.986880	-28.94945	96	15.384	0.139	15.369	0.011
BUL_SC35	232081	180422.16-281534.2	18.072823	-28.25950	96	15.384	0.149	15.347	0.010
BUL_SC21	353714	180020.53-284952.4	18.005703	-28.83121	93	15.385	0.131	15.348	0.013
BUL_SC45	413056	180348.44-295807.1	18.063456	-29.96865	90	15.385	0.212	15.313	0.011
BUL_SC21	192675	180005.89-283143.6	18.001635	-28.52877	74	15.387	0.107	15.387	0.013
BUL_SC35	346266	180425.82-274250.1	18.073840	-27.71393	82	15.391	0.100	15.355	0.012
BUL_SC17	484098	181105.56-255746.2	18.184877	-25.96282	91	15.393	0.218	15.299	0.009
BUL_SC37	133	175207.05-302527.7	17.868626	-30.42437	61	15.394	0.137	15.359	0.010
BUL_SC16	78132	180950.00-261925.4	18.163890	-26.32372	96	15.395	0.118	15.358	0.009
BUL_SC25	578	175402.71-331751.3	17.900754	-33.29759	98	15.397	0.169	15.350	0.009
BUL_SC41	484694	175240.54-332325.1	17.877929	-33.39029	59	15.397	0.110	15.379	0.011
BUL_SC44	81242	174920.63-301751.5	17.822398	-30.29765	44	15.397	0.124	15.383	0.011
BUL_SC21	280951	180016.53-290844.9	18.004593	-29.14580	79	15.400	0.159	15.385	0.012
BUL_SC25	602903	175451.27-323005.7	17.914240	-32.50157	43	15.404	0.105	15.367	0.015
BUL_SC9	171968	182415.86-221035.0	18.404405	-22.17640	73	15.405	0.110	15.387	0.009
BUL_SC38	543798	180149.99-302257.2	18.030552	-30.38254	96	15.405	0.113	15.398	0.010
BUL_SC45	385031	180352.08-300850.6	18.064467	-30.14738	91	15.405	0.104	15.382	0.012
BUL_SC35	218354	180417.84-282050.1	18.071622	-28.34726	94	15.407	0.217	15.342	0.010
BUL_SC5	277586	175027.71-294435.2	17.841030	-29.74310	84	15.408	0.283	15.305	0.012
BUL_SC11	212254	182100.12-215935.8	18.350034	-21.99328	78	15.409	0.120	15.391	0.009
BUL_SC19	386254	180817.54-273730.9	18.138206	-27.62526	53	15.409	0.103	15.390	0.015
BUL_SC6	319676	180817.44-320956.6	18.138179	-32.16573	81	15.411	0.102	15.377	0.009
BUL_SC43	55857	173447.47-270738.1	17.579853	-27.12725	50	15.412	0.108	15.374	0.014
BUL_SC34	389274	175811.16-290158.6	17.969765	-29.03294	97	15.413	0.100	15.391	0.010
BUL_SC47	271280	172729.33-394130.9	17.458147	-39.69190	97	15.413	0.233	15.317	0.009
BUL_SC2	605281	180428.80-282731.9	18.074666	-28.45885	54	15.420	0.117	15.363	0.014
BUL_SC28	346566	174725.09-371039.7	17.790302	-37.17770	96	15.421	0.142	15.419	0.009
BUL_SC34	48347	175748.44-292406.3	17.963455	-29.40176	69	15.421	0.179	15.371	0.012
BUL_SC5	292444	175029.28-293814.4	17.841466	-29.63734	31	15.422	0.143	15.398	0.012
BUL_SC23	545498	175755.49-304736.7	17.965413	-30.79353	68	15.422	0.152	15.377	0.012
BUL_SC35	231516	180423.27-281658.2	18.073131	-28.28283	95	15.422	0.129	15.385	0.009
BUL_SC22	370491	175636.17-302021.7	17.943382	-30.33936	80	15.423	0.133	15.400	0.011
BUL_SC43	64823	173446.67-270429.9	17.579631	-27.07497	95	15.424	0.108	15.400	0.009
BUL_SC14	95199	174644.53-230331.5	17.779035	-23.05875	67	15.426	0.156	15.392	0.010
BUL_SC18	24194	180640.32-273306.6	18.111200	-27.55183	96	15.433	0.109	15.400	0.009
BUL_SC22	119643	175616.99-304410.2	17.938052	-30.73617	74	15.434	0.232	15.351	0.010
BUL_SC30	139524	180106.15-283707.7	18.018375	-28.61881	50	15.437	0.102	15.387	0.016
BUL_SC44	45049	174857.66-294900.2	17.816017	-29.81672	48	15.438	0.145	15.415	0.011
BUL_SC17	415355	181109.24-262001.7	18.185899	-26.33382	97	15.441	0.120	15.415	0.009
BUL_SC35	244527	180413.83-281246.7	18.070509	-28.21298	94	15.441	0.122	15.408	0.011
BUL_SC34	212773	175759.92-284812.4	17.966646	-28.80345	34	15.442	0.137	15.434	0.015
BUL_SC44	81224	174910.70-301819.0	17.819639	-30.30529	39	15.443	0.102	15.431	0.012
BUL_SC49	109492	172924.85-400551.0	17.490235	-40.09749	83	15.445	0.124	15.419	0.010
BUL_SC29	417134	174828.66-371302.6	17.807961	-37.21739	83	15.446	0.108	15.428	0.009
BUL_SC44	260717	174945.40-300717.4	17.829278	-30.12150	56	15.447	0.117	15.405	0.009
BUL_SC22	282859	175636.03-305106.8	17.943343	-30.85188	33	15.453	0.119	15.453	0.015
BUL_SC38	350070	180121.84-293320.7	18.022733	-29.55574	85	15.453	0.111	15.402	0.012
BUL_SC46	436148	180507.09-302835.8	18.085304	-30.47660	97	15.453	0.109	15.424	0.010
BUL_SC3	76481	175308.13-300141.9	17.885592	-30.02831	49	15.454	0.108	15.412	0.015
BUL_SC39	468085	175541.27-295822.8	17.928130	-29.97300	77	15.454	0.143	15.446	0.010
BUL_SC42	152528	180843.99-262707.7	18.145554	-26.45214	56	15.454	0.101	15.425	0.013
BUL_SC32	23824	180307.98-285901.4	18.052217	-28.98372	74	15.455	0.105	15.430	0.014
BUL_SC35	463534	180428.73-280712.1	18.074646	-28.12002	95	15.456	0.186	15.385	0.011
BUL_SC13	546059	181719.21-233711.2	18.288671	-23.61978	93	15.457	0.107	15.435	0.010
BUL_SC22	706817	175718.66-301959.2	17.955183	-30.33311	52	15.457	0.115	15.422	0.012
BUL_SC45	67547	180307.80-300758.8	18.052166	-30.13299	88	15.457	0.116	15.425	0.013
BUL_SC44	70494	174913.55-302619.7	17.820431	-30.43882	36	15.461	0.145	15.421	0.010
BUL_SC44	86461	174920.66-301406.8	17.822407	-30.23522	32	15.461	0.115	15.451	0.011
BUL_SC20	29172	175853.85-291329.1	17.981626	-29.22474	87	15.462	0.124	15.450	0.012
BUL_SC31	12707	180201.20-290032.4	18.033667	-29.00899	97	15.463	0.183	15.382	0.010
BUL_SC24	265854	175302.96-324020.8	17.884155	-32.67245	89	15.464	0.102	15.431	0.010
BUL_SC32	555802	180337.99-282344.0	18.060553	-28.39557	86	15.464	0.107	15.457	0.010
BUL_SC12	173102	181601.83-240851.3	18.267174	-24.14757	90	15.465	0.141	15.408	0.010
BUL_SC46	214416	180437.12-300633.9	18.076978	-30.10940	98	15.466	0.130	15.429	0.011
BUL_SC14	73092	174643.10-230732.2	17.778638	-23.12560	67	15.472	0.103	15.428	0.012
BUL_SC27	455776	174837.46-350429.0	17.810406	-35.07472	74	15.473	0.101	15.428	0.011
BUL_SC5	134809	175006.87-300036.6	17.835242	-30.01017	47	15.475	0.102	15.475	0.010
BUL_SC43	138124	173502.76-272712.3	17.584101	-27.45343	90	15.475	0.115	15.465	0.010
BUL_SC32	723787	180357.13-282941.8	18.065869	-28.49495	76	15.476	0.124	15.443	0.010
BUL_SC33	402431	180532.35-291625.7	18.092320	-29.27381	77	15.476	0.146	15.417	0.010
BUL_SC44	226011	174950.89-302746.5	17.830803	-30.46292	80	15.477	0.123	15.459	0.010
BUL_SC47	142042	172652.95-392411.1	17.448043	-39.40307	74	15.477	0.100	15.440	0.009
BUL_SC31	421864	180223.71-290143.5	18.039920	-29.02876	44	15.478	0.115	15.425	0.013
BUL_SC6	459389	180824.41-320402.4	18.140113	-32.06732	69	15.479	0.112	15.455	0.010
BUL_SC9	256997	182421.88-220700.4	18.406079	-22.11679	82	15.480	0.281	15.375	0.009
BUL_SC21	91865	180001.24-285547.6	18.000344	-28.92990	97	15.481	0.103	15.461	0.010
BUL_SC13	376789	181716.26-234723.8	18.287849	-23.78995	95	15.482	0.126	15.449	0.009
BUL_SC18	653422	180726.84-271407.1	18.124122	-27.23530	94	15.484	0.104	15.461	0.009
BUL_SC5	307350	175036.99-293023.4	17.843609	-29.50649	57	15.486	0.144	15.478	0.011
BUL_SC30	717816	180141.70-283432.6	18.028251	-28.57573	53	15.486	0.101	15.438	0.016
BUL_SC38	326471	180121.60-294118.1	18.022668	-29.68836	98	15.488	0.188	15.423	0.010
BUL_SC3	327983	175323.22-295413.3	17.889783	-29.90369	92	15.491	0.150	15.461	0.011
BUL_SC30	559612	180134.49-282731.2	18.026247	-28.45867	45	15.491	0.137	15.400	0.016
BUL_SC32	23491	180302.50-285841.5	18.050695	-28.97819	70	15.492	0.102	15.457	0.014
BUL_SC45	545711	180357.20-300605.2	18.065888	-30.10143	99	15.492	0.146	15.477	0.010
BUL_SC21	571421	180036.93-284901.6	18.010258	-28.81710	91	15.493	0.132	15.490	0.014
BUL_SC23	683597	175816.88-305639.9	17.971356	-30.94443	74	15.493	0.103	15.472	0.013
BUL_SC1	410183	180237.81-301202.6	18.043836	-30.20071	97	15.494	0.109	15.489	0.009
BUL_SC5	22883	174953.27-300835.5	17.831463	-30.14319	46	15.495	0.110	15.488	0.012
BUL_SC47	297325	172723.06-392041.6	17.456407	-39.34489	47	15.495	0.162	15.427	0.010
BUL_SC14	427869	174713.96-225609.5	17.787211	-22.93597	54	15.496	0.154	15.487	0.010
BUL_SC33	659140	180550.95-284741.8	18.097486	-28.79494	70	15.496	0.103	15.432	0.014
BUL_SC44	65305	174921.61-302904.3	17.822669	-30.48452	39	15.497	0.105	15.467	0.010
BUL_SC20	95386	175900.23-285508.7	17.983398	-28.91910	96	15.499	0.136	15.453	0.010
BUL_SC29	55427	174746.37-371030.7	17.796215	-37.17518	83	15.499	0.154	15.441	0.009
BUL_SC44	81264	174907.13-301709.5	17.818648	-30.28596	57	15.500	0.132	15.486	0.011
BUL_SC4	156243	175411.06-292739.5	17.903071	-29.46098	98	15.502	0.122	15.468	0.011
BUL_SC17	341441	181056.61-254912.2	18.182392	-25.82006	91	15.502	0.100	15.469	0.010
BUL_SC37	192121	175231.82-301242.3	17.875506	-30.21176	76	15.502	0.114	15.454	0.014
BUL_SC42	482769	180922.28-271158.6	18.156189	-27.19961	79	15.503	0.170	15.442	0.011
BUL_SC2	193017	180357.13-282941.8	18.065869	-28.49495	51	15.504	0.128	15.479	0.010
BUL_SC38	258832	180112.26-300104.5	18.020073	-30.01791	96	15.505	0.104	15.497	0.011
BUL_SC22	282473	175632.97-305056.5	17.942492	-30.84903	92	15.510	0.127	15.501	0.010
BUL_SC21	690037	180049.26-291401.3	18.013684	-29.23368	97	15.511	0.190	15.441	0.010
BUL_SC16	501232	181009.76-255953.0	18.169378	-25.99805	84	15.512	0.178	15.451	0.010
BUL_SC33	702904	180555.91-283435.4	18.098864	-28.57650	90	15.512	0.101	15.500	0.010
BUL_SC32	661943	180348.77-284517.7	18.063548	-28.75491	70	15.513	0.105	15.488	0.013
BUL_SC39	304	175516.90-301224.9	17.921361	-30.20691	72	15.514	0.108	15.461	0.013
BUL_SC7	140396	180854.93-322502.3	18.148591	-32.41731	66	15.515	0.105	15.502	0.012
BUL_SC25	471301	175454.82-331838.6	17.915229	-33.31071	83	15.515	0.168	15.448	0.009
BUL_SC38	269754	180115.29-295930.9	18.020913	-29.99193	95	15.515	0.136	15.486	0.010
BUL_SC4	557354	175447.89-292530.6	17.913302	-29.42515	89	15.516	0.231	15.414	0.010
BUL_SC38	22301	180059.29-301637.8	18.016469	-30.27715	87	15.516	0.139	15.466	0.009
BUL_SC38	574864	180148.34-301335.4	18.030096	-30.22649	90	15.518	0.145	15.505	0.010
BUL_SC5	194765	175017.54-292938.1	17.838205	-29.49391	80	15.519	0.118	15.510	0.012
BUL_SC18	51436	180643.93-272550.9	18.112202	-27.43081	92	15.519	0.184	15.450	0.009
BUL_SC21	162851	180001.91-284045.1	18.000530	-28.67918	95	15.519	0.196	15.467	0.010
BUL_SC36	515942	180544.85-280539.9	18.095790	-28.09442	94	15.521	0.103	15.510	0.010
BUL_SC39	210457	175507.89-291852.7	17.918859	-29.31465	55	15.522	0.157	15.501	0.010
BUL_SC10	429401	182034.03-220927.6	18.342785	-22.15767	49	15.523	0.102	15.478	0.012
BUL_SC11	326857	182130.07-225057.3	18.358354	-22.84926	55	15.524	0.144	15.460	0.009
BUL_SC14	194571	174701.59-232221.7	17.783776	-23.37269	47	15.524	0.126	15.523	0.014
BUL_SC34	840575	175846.45-290748.3	17.979568	-29.13009	84	15.524	0.103	15.467	0.013
BUL_SC2	639615	180447.78-291113.6	18.079938	-29.18710	94	15.525	0.102	15.501	0.010
BUL_SC8	331846	182335.87-215923.7	18.393296	-21.98993	42	15.525	0.124	15.495	0.009
BUL_SC25	525208	175458.20-325901.4	17.916168	-32.98372	42	15.526	0.103	15.505	0.012
BUL_SC35	729774	180445.75-274038.6	18.079376	-27.67738	97	15.526	0.113	15.487	0.011
BUL_SC15	371826	174817.58-231222.2	17.804882	-23.20616	59	15.527	0.133	15.485	0.010
BUL_SC21	294955	180021.38-290533.6	18.005938	-29.09267	95	15.527	0.176	15.476	0.010
BUL_SC44	205497	174925.61-294654.0	17.823780	-29.78168	56	15.527	0.300	15.459	0.010
BUL_SC24	343465	175331.78-330813.2	17.892161	-33.13700	89	15.529	0.118	15.494	0.010
BUL_SC41	37272	175147.21-332052.0	17.863114	-33.34778	82	15.529	0.109	15.494	0.009
BUL_SC4	765352	175507.90-291852.7	17.918860	-29.31465	34	15.530	0.160	15.520	0.012
BUL_SC9	28001	182340.43-215815.0	18.394563	-21.97084	91	15.531	0.163	15.470	0.009
BUL_SC46	503372	180457.59-295729.4	18.082663	-29.95818	97	15.531	0.151	15.469	0.012
BUL_SC31	152059	180203.46-282104.6	18.034294	-28.35129	76	15.533	0.168	15.479	0.010
BUL_SC3	202315	175309.37-293051.8	17.885935	-29.51438	85	15.534	0.101	15.505	0.014
BUL_SC11	288620	182112.28-221254.7	18.353411	-22.21519	57	15.534	0.102	15.487	0.012
BUL_SC36	316689	180523.03-280342.1	18.089730	-28.06170	72	15.534	0.103	15.522	0.014
BUL_SC18	229064	180654.78-273036.1	18.115216	-27.51002	96	15.535	0.105	15.528	0.010
BUL_SC9	21980	182335.86-215923.7	18.393296	-21.98993	93	15.536	0.129	15.498	0.009
BUL_SC21	122363	175959.80-284936.1	17.999945	-28.82670	68	15.536	0.175	15.504	0.016
BUL_SC45	545516	180405.85-300830.5	18.068291	-30.14181	84	15.536	0.105	15.505	0.013
BUL_SC20	248310	175916.10-291015.8	17.987805	-29.17106	94	15.537	0.121	15.529	0.012
BUL_SC44	260707	174950.15-300739.7	17.830598	-30.12769	45	15.538	0.138	15.517	0.011
BUL_SC23	315043	175750.29-310531.6	17.963968	-31.09211	69	15.539	0.108	15.504	0.011
BUL_SC4	429	175410.99-300846.9	17.903052	-30.14637	95	15.541	0.101	15.508	0.011
BUL_SC5	34453	174955.09-300114.1	17.831970	-30.02058	39	15.546	0.288	15.447	0.011
BUL_SC37	143785	175215.13-293558.3	17.870870	-29.59953	90	15.547	0.126	15.524	0.011
BUL_SC12	112719	181540.88-233823.7	18.261356	-23.63992	82	15.551	0.186	15.493	0.010
BUL_SC12	181701	181606.01-240656.6	18.268336	-24.11574	82	15.551	0.118	15.549	0.009
BUL_SC17	329754	181053.21-255233.9	18.181447	-25.87609	92	15.551	0.113	15.511	0.010
BUL_SC44	95663	174913.50-300725.7	17.820416	-30.12382	40	15.552	0.101	15.547	0.011
BUL_SC32	49528	180301.74-284947.9	18.050484	-28.82998	71	15.554	0.102	15.518	0.015
BUL_SC25	613321	175450.99-322636.6	17.914165	-32.44349	66	15.555	0.122	15.489	0.013
BUL_SC35	716898	180456.55-274546.7	18.082376	-27.76298	85	15.555	0.102	15.539	0.012
BUL_SC2	567895	180441.16-283747.3	18.078101	-28.62981	81	15.557	0.126	15.533	0.011
BUL_SC40	215345	175051.77-332528.4	17.847713	-33.42455	82	15.557	0.122	15.537	0.010
BUL_SC7	255456	180925.82-322314.3	18.157171	-32.38731	92	15.558	0.182	15.554	0.009
BUL_SC7	435089	180939.67-315131.3	18.161019	-31.85870	77	15.558	0.117	15.548	0.010
BUL_SC11	240244	182106.87-224352.0	18.351907	-22.73112	65	15.558	0.131	15.544	0.010
BUL_SC13	489900	181724.27-240028.9	18.290076	-24.00802	68	15.558	0.101	15.519	0.011
BUL_SC13	119596	181645.34-233817.3	18.279261	-23.63814	91	15.559	0.175	15.510	0.009
BUL_SC26	425505	174724.06-350851.1	17.790018	-35.14753	85	15.559	0.152	15.506	0.013
BUL_SC43	159919	173502.07-271450.4	17.583908	-27.24734	97	15.559	0.135	15.512	0.010
BUL_SC44	16760	174900.58-301325.8	17.816827	-30.22384	78	15.559	0.177	15.536	0.012
BUL_SC21	767324	180048.94-285242.7	18.013595	-28.87853	95	15.560	0.115	15.515	0.011
BUL_SC31	765905	180248.21-281436.1	18.046725	-28.24336	97	15.560	0.143	15.557	0.010
BUL_SC44	65339	174911.40-302756.1	17.819834	-30.46558	51	15.560	0.127	15.550	0.011
BUL_SC32	433466	180332.98-285724.8	18.059160	-28.95688	95	15.562	0.137	15.555	0.010
BUL_SC1	343548	180232.59-293758.4	18.042385	-29.63289	88	15.563	0.102	15.525	0.012
BUL_SC11	199320	182100.86-220825.9	18.350239	-22.14052	83	15.563	0.137	15.528	0.011
BUL_SC44	287953	174951.51-294942.5	17.830974	-29.82847	73	15.563	0.113	15.534	0.011
BUL_SC18	531768	180708.70-265745.6	18.119082	-26.96267	95	15.564	0.173	15.495	0.010
BUL_SC7	220054	180904.54-314330.5	18.151262	-31.72514	96	15.569	0.118	15.569	0.010
BUL_SC13	171733	181649.84-241436.8	18.280511	-24.24356	64	15.569	0.112	15.547	0.013
BUL_SC2	650925	180448.07-290940.4	18.080019	-29.16122	84	15.570	0.103	15.569	0.011
BUL_SC44	306215	174938.99-294017.7	17.827496	-29.67158	33	15.572	0.115	15.572	0.014
BUL_SC21	91927	175958.97-285523.7	17.999714	-28.92326	91	15.573	0.109	15.545	0.013
BUL_SC43	242938	173527.35-273510.6	17.590930	-27.58628	61	15.575	0.127	15.531	0.014
BUL_SC33	352179	180514.92-283458.5	18.087479	-28.58291	73	15.576	0.143	15.532	0.011
BUL_SC34	16772	175746.27-293021.0	17.962853	-29.50583	44	15.579	0.104	15.549	0.009
BUL_SC5	56508	174951.51-294942.5	17.830975	-29.82847	58	15.580	0.113	15.557	0.011
BUL_SC10	164960	181958.69-222714.0	18.332969	-22.45388	95	15.580	0.170	15.532	0.009
BUL_SC5	264642	175022.55-295049.9	17.839598	-29.84720	92	15.581	0.120	15.558	0.012
BUL_SC30	189770	180056.04-282231.8	18.015567	-28.37550	92	15.581	0.107	15.577	0.011
BUL_SC20	56385	175859.21-290700.3	17.983115	-29.11676	37	15.584	0.101	15.581	0.015
BUL_SC19	417760	180813.21-272730.2	18.137003	-27.45839	83	15.586	0.225	15.512	0.011
BUL_SC2	581017	180429.03-283359.0	18.074732	-28.56639	94	15.587	0.118	15.586	0.011
BUL_SC7	362538	180931.47-322528.5	18.158741	-32.42459	94	15.590	0.125	15.539	0.011
BUL_SC12	197356	181556.13-240035.3	18.265593	-24.00980	56	15.590	0.131	15.520	0.014
BUL_SC30	706567	180149.08-283859.3	18.030301	-28.64981	97	15.590	0.100	15.581	0.011
BUL_SC43	84	173453.85-273816.8	17.581624	-27.63799	35	15.591	0.101	15.584	0.011
BUL_SC5	172224	175013.86-294102.4	17.837184	-29.68400	59	15.592	0.104	15.583	0.011
BUL_SC17	329701	181048.03-255308.9	18.180007	-25.88580	92	15.592	0.144	15.551	0.011
BUL_SC43	81811	173453.68-265754.9	17.581577	-26.96526	63	15.592	0.117	15.537	0.013
BUL_SC26	709725	174745.66-343703.0	17.796017	-34.61750	91	15.594	0.134	15.549	0.010
BUL_SC41	126251	175136.93-324954.1	17.860258	-32.83169	50	15.594	0.107	15.580	0.013
BUL_SC32	101755	180306.39-283702.5	18.051775	-28.61736	86	15.595	0.106	15.560	0.010
BUL_SC21	557615	180027.50-285458.8	18.007638	-28.91635	92	15.596	0.145	15.585	0.011
BUL_SC28	315458	174731.78-372737.3	17.792161	-37.46037	46	15.596	0.167	15.544	0.010
BUL_SC30	659974	180144.31-285019.8	18.028974	-28.83882	97	15.596	0.100	15.592	0.011
BUL_SC30	718048	180151.29-283542.9	18.030914	-28.59525	96	15.596	0.126	15.580	0.012
BUL_SC4	511590	175444.66-294007.4	17.912404	-29.66872	59	15.597	0.102	15.560	0.015
BUL_SC45	492106	180405.53-302702.4	18.068204	-30.45067	90	15.597	0.111	15.581	0.011
BUL_SC11	334443	182133.07-224453.9	18.359187	-22.74830	67	15.598	0.137	15.566	0.009
BUL_SC39	599287	175554.50-291711.7	17.931806	-29.28658	54	15.598	0.104	15.590	0.015
BUL_SC20	584455	175923.83-282802.8	17.989953	-28.46744	98	15.599	0.116	15.569	0.011
BUL_SC37	420535	175235.30-295258.4	17.876471	-29.88289	72	15.599	0.120	15.567	0.013
BUL_SC44	171063	174924.42-301209.0	17.823449	-30.20249	49	15.600	0.151	15.578	0.011
BUL_SC27	34608	174801.39-352641.2	17.800387	-35.44477	88	15.601	0.117	15.596	0.009
BUL_SC32	637840	180354.51-285324.1	18.065141	-28.89004	97	15.601	0.107	15.553	0.009
BUL_SC34	681874	175818.85-284919.3	17.971902	-28.82202	97	15.602	0.121	15.571	0.010
BUL_SC38	337820	180120.07-293839.3	18.022241	-29.64424	91	15.602	0.140	15.579	0.010
BUL_SC36	736684	180555.72-280318.6	18.098812	-28.05518	72	15.603	0.101	15.580	0.014
BUL_SC17	555926	181131.08-262800.7	18.191968	-26.46686	92	15.606	0.103	15.589	0.010
BUL_SC44	81420	174907.16-301740.1	17.818656	-30.29447	89	15.606	0.103	15.605	0.011
BUL_SC34	841158	175846.38-290436.5	17.979549	-29.07682	92	15.607	0.112	15.607	0.011
BUL_SC30	225186	180119.15-290900.2	18.021985	-29.15005	96	15.608	0.118	15.584	0.011
BUL_SC4	294297	175432.96-294516.9	17.909154	-29.75471	61	15.610	0.114	15.605	0.017
BUL_SC1	225456	180223.66-301221.6	18.039905	-30.20601	85	15.611	0.102	15.566	0.013
BUL_SC27	340821	174811.78-344515.8	17.803272	-34.75438	77	15.611	0.102	15.579	0.012
BUL_SC29	374711	174843.41-373522.6	17.812058	-37.58962	45	15.611	0.104	15.590	0.010
BUL_SC13	41861	181635.46-240539.5	18.276518	-24.09431	69	15.612	0.106	15.561	0.012
BUL_SC33	352495	180520.66-283206.4	18.089071	-28.53512	50	15.612	0.103	15.553	0.013
BUL_SC44	61808	174857.56-293639.7	17.815990	-29.61104	40	15.612	0.117	15.592	0.010
BUL_SC4	381276	175422.49-291934.5	17.906248	-29.32624	97	15.615	0.107	15.590	0.011
BUL_SC27	252957	174806.91-351356.7	17.801920	-35.23242	96	15.616	0.126	15.610	0.010
BUL_SC30	648474	180146.54-285338.1	18.029595	-28.89391	47	15.616	0.116	15.558	0.013
